B02.01 9 9.0 0.30 10.1 0.30 36.8 0.30 3300 150
B02.02 8 10.5 0.5 9.0 0.5 36.5 0.5 3449.25 400
B02.03 4 10.5 0.5 9.0 0.5 37.0 0.5 3496.5 408
B02.04 2 9.1 0.2 10.6 0.4 36.5 0.4 3520 156
B02.05 5 9 0.5 10. 0.5 36 0.5 3200 250
B02.06 6 37 0.5 9 0.5 10 0.5 3330 253
B02.07 6 37 0.5 10.5 0.5 9 0.5 349.5 260
B02.08 3 36.5 0.5 8.5 0.7 10 0.5 3102.5 542.9
B02.09 10 10 0.5 9 0.5 37 0.5 3330 4.38
B02.10 5 9 0.09 10.3 0.206 36.75 0.735 3406.725 102.20175
B02.11 7 9.2 0.2 10.4 0.2 36.7 0.2 3511.456 103.7
B02.12 4 37.0 0.1 10.2 0.1 9.1 0.1 3430 80
B02.13 9 8.9967 0.1880 10.3200 0 36.1525 0 3356.6130 70.1416
