B04.01 4 37 0.25 10.5 0.25 9 0.25 3496.5 130.08
B04.02 3 9 0.5 10 0.5 36 0.5 3240 250
B04.03 5 9.0 0.1 10.2 0.1 36.8 0.1 3400 80
B04.04 10 9.1 0.1 10.3 0.1 36.7 0.3 3440 58
B04.05 9 9 1 11 1 37 1 3663 8.8
B04.06 7 36.2 0.4 9.0 0.4 10 0.4 3258 0.064
B04.07 6 9 0.5 10 0.5 36 0.5 3240 247.07
B04.08 1 9 0.5 10 0.5 37 0.5 3330 253
B04.09 8 9 0.005 10.5 0.005 36.7 0.045 3468.15 0.055
B04.10 4 9 0.5 10.5 0.5 36.5 0.5 3450 66
B04.11 2 10.155 0.219 36.755 0.346 8.865 0.191 3308.065 31.02
B04.12 1 9.0 0.5 10.0 0.5 36.0 0.5 3200.0 300.0
